,,,,,,,,,
REF_STATE_NAME,REF_COUNTY_NAME,REF_COMMUN_NAME,PRODUCT_EFFECTIVE_DATE,,,,,,
,,"HOMEDALE, CITY OF Total",,,,,,,
,OWYHEE COUNTY Total,,,,,,,,
,PAYETTE COUNTY,"FRUITLAND, CITY OF",2/15/84,,,,,,
,,"FRUITLAND, CITY OF Total",,,,,,,
,,PAYETTE COUNTY UNINCORPORATED AREAS,2/15/84,,,,,,
,,PAYETTE COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"PAYETTE, CITY OF",2/15/84,,,,,,
,,"PAYETTE, CITY OF Total",,,,,,,
,PAYETTE COUNTY Total,,,,,,,,
,POWER COUNTY,"AMERICAN FALLS, CITY OF",1/19/82,,,,,,
,,"AMERICAN FALLS, CITY OF Total",,,,,,,
,,"ROCKLAND, CITY OF",4/1/77,,,,,,
,,"ROCKLAND, CITY OF Total",,,,,,,
,POWER COUNTY Total,,,,,,,,
,SHOSHONE COUNTY,"KELLOGG, CITY OF",9/26/08,,,,,,
,,"KELLOGG, CITY OF Total",,,,,,,
,,"MULLAN, CITY OF",9/26/08,,,,,,
,,"MULLAN, CITY OF Total",,,,,,,
,,"OSBURN, CITY OF",9/26/08,,,,,,
,,"OSBURN, CITY OF Total",,,,,,,
,,"PINEHURST, CITY OF",9/26/08,,,,,,
,,"PINEHURST, CITY OF Total",,,,,,,
,,SHOSHONE COUNTY ALL JURISDICTIONS,9/26/08,,,,,,
,,SHOSHONE COUNTY ALL JURISDICTIONS Total,,,,,,,
,,SHOSHONE COUNTY UNINCORPORATED AREAS,9/26/08,,,,,,
,,SHOSHONE COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"SMELTERVILLE, CITY OF",9/26/08,,,,,,
,,"SMELTERVILLE, CITY OF Total",,,,,,,
,,"WALLACE, CITY OF",9/26/08,,,,,,
,,"WALLACE, CITY OF Total",,,,,,,
,,"WARDNER, CITY OF",9/26/08,,,,,,
,,"WARDNER, CITY OF Total",,,,,,,
,SHOSHONE COUNTY Total,,,,,,,,
,TETON COUNTY,"DRIGGS, CITY OF",8/4/88,,,,,,
,,"DRIGGS, CITY OF Total",,,,,,,
,,TETON COUNTY ALL JURISDICTIONS,8/4/88,,,,,,
,,TETON COUNTY ALL JURISDICTIONS Total,,,,,,,
,,TETON COUNTY UNINCORPORATED AREAS,8/4/88,,,,,,
,,TETON COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"VICTOR, CITY OF",8/4/88,,,,,,
,,"VICTOR, CITY OF Total",,,,,,,
,TETON COUNTY Total,,,,,,,,
,TWIN FALLS COUNTY,"FILER, CITY OF",9/26/08,,,,,,
,,"FILER, CITY OF Total",,,,,,,
,,"HANSEN, CITY OF",9/26/08,,,,,,
,,"HANSEN, CITY OF Total",,,,,,,
,,"KIMBERLY, CITY OF",9/26/08,,,,,,
,,"KIMBERLY, CITY OF Total",,,,,,,
,,TWIN FALLS COUNTY ALL JURISDICTIONS,9/26/08,,,,,,
,,TWIN FALLS COUNTY ALL JURISDICTIONS Total,,,,,,,
,,TWIN FALLS COUNTY UNINCORPORATED AREAS,9/26/08,,,,,,
,,TWIN FALLS COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"TWIN FALLS, CITY OF",9/26/08,,,,,,
,,"TWIN FALLS, CITY OF Total",,,,,,,
,TWIN FALLS COUNTY Total,,,,,,,,
,VALLEY COUNTY,"CASCADE, CITY OF",9/15/89,,,,,,
,,"CASCADE, CITY OF Total",,,,,,,
,,"DONNELLY, CITY OF",4/15/77,,,,,,
,,"DONNELLY, CITY OF Total",,,,,,,
,,"MCCALL, CITY OF",4/17/89,,,,,,
,,"MCCALL, CITY OF Total",,,,,,,
,,VALLEY COUNTY UNINCORPORATED AREAS,9/5/90,,,,,,
,,VALLEY COUNTY UNINCORPORATED AREAS Total,,,,,,,
,VALLEY COUNTY Total,,,,,,,,
,WASHINGTON COUNTY,"CAMBRIDGE, CITY OF",6/16/09,,,,,,
,,"CAMBRIDGE, CITY OF Total",,,,,,,
,,"MIDVALE,CITY OF",6/16/09,,,,,,
,,"MIDVALE,CITY OF Total",,,,,,,
,,WASHINGTON COUNTY ALL JURISDICTIONS,6/16/09,,,,,,
,,WASHINGTON COUNTY ALL JURISDICTIONS Total,,,,,,,
,,WASHINGTON COUNTY UNINCORPORATED AREAS,6/16/09,,,,,,
,,WASHINGTON COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"WEISER,CITY OF",6/16/09,,,,,,
,,"WEISER,CITY OF Total",,,,,,,
,WASHINGTON COUNTY Total,,,,,,,,
IDAHO Total,,,,,,,,,
ILLINOIS,ADAMS COUNTY,ADAMS COUNTY ALL JURISDICTIONS,6/2/11,,,,,,
,,ADAMS COUNTY ALL JURISDICTIONS Total,,,,,,,
,,ADAMS COUNTY UNINCORPORATED AREAS,6/2/11,,,,,,
,,ADAMS COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"CAMP POINT, VILLAGE OF",6/2/11,,,,,,
,,"CAMP POINT, VILLAGE OF Total",,,,,,,
,,"COATSBURG, VILLAGE OF",6/2/11,,,,,,
,,"COATSBURG, VILLAGE OF Total",,,,,,,
,,"COLUMBUS, VILLAGE OF",6/2/11,,,,,,
,,"COLUMBUS, VILLAGE OF Total",,,,,,,
,,"GOLDEN, VILLAGE OF",6/2/11,,,,,,
,,"GOLDEN, VILLAGE OF Total",,,,,,,
,,"LIBERTY, VILLAGE OF",6/2/11,,,,,,
,,"LIBERTY, VILLAGE OF Total",,,,,,,
,,"LIMA, VILLAGE OF",6/2/11,,,,,,
,,"LIMA, VILLAGE OF Total",,,,,,,
,,"LORAINE, VILLAGE OF",6/2/11,,,,,,
,,"LORAINE, VILLAGE OF Total",,,,,,,
,,"PAYSON, VILLAGE OF",6/2/11,,,,,,
,,"PAYSON, VILLAGE OF Total",,,,,,,
,,"PLAINVILLE, VILLAGE OF",6/2/11,,,,,,
,,"PLAINVILLE, VILLAGE OF Total",,,,,,,
,,"QUINCY, CITY OF",6/2/11,,,,,,
,,"QUINCY, CITY OF Total",,,,,,,
,,"URSA, VILLAGE OF",6/2/11,,,,,,
,,"URSA, VILLAGE OF Total",,,,,,,
,ADAMS COUNTY Total,,,,,,,,
,ALEXANDER COUNTY,ALEXANDER COUNTY ALL JURISDICTIONS,5/4/09,,,,,,
,,ALEXANDER COUNTY ALL JURISDICTIONS Total,,,,,,,
,,ALEXANDER COUNTY UNINCORPORATED AREAS,5/4/09,,,,,,
,,ALEXANDER COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"CAIRO, CITY OF",5/4/09,,,,,,
,,"CAIRO, CITY OF Total",,,,,,,
,,"EAST CAPE GIRARDEAU, VILLAGE OF",5/4/09,,,,,,
,,"EAST CAPE GIRARDEAU, VILLAGE OF Total",,,,,,,
,,"MCCLURE, VILLAGE OF",5/4/09,,,,,,
,,"MCCLURE, VILLAGE OF Total",,,,,,,
,,"TAMMS, VILLAGE OF",5/4/09,,,,,,
,,"TAMMS, VILLAGE OF Total",,,,,,,
,,"THEBES, VILLAGE OF",5/4/09,,,,,,
,,"THEBES, VILLAGE OF Total",,,,,,,
,ALEXANDER COUNTY Total,,,,,,,,
,BOND COUNTY,BOND COUNTY UNINCORPORATED AREAS,1/4/85,,,,,,
,,BOND COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"GREENVILLE, CITY OF",8/5/85,,,,,,
,,"GREENVILLE, CITY OF Total",,,,,,,
,BOND COUNTY Total,,,,,,,,
,BOONE COUNTY,"BELVIDERE, CITY OF",2/18/11,,,,,,
,,"BELVIDERE, CITY OF Total",,,,,,,
,,BOONE COUNTY ALL JURISDICTIONS,2/18/11,,,,,,
,,BOONE COUNTY ALL JURISDICTIONS Total,,,,,,,
,,BOONE COUNTY UNINCORPORATED AREAS,2/18/11,,,,,,
,,BOONE COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"CALEDONIA, VILLAGE OF",2/18/11,,,,,,
,,"CALEDONIA, VILLAGE OF Total",,,,,,,
,,"CAPRON, VILLAGE OF",2/18/11,,,,,,
,,"CAPRON, VILLAGE OF Total",,,,,,,
,,"CHERRY VALLEY, VILLAGE OF",2/17/16,,,,,,
,,"CHERRY VALLEY, VILLAGE OF Total",,,,,,,
,,"LOVES PARK, CITY OF",2/17/16,,,,,,
,,"LOVES PARK, CITY OF Total",,,,,,,
,,"POPLAR GROVE, VILLAGE OF",2/18/11,,,,,,
,,"POPLAR GROVE, VILLAGE OF Total",,,,,,,
,,"TIMBERLANE, VILLAGE OF",2/18/11,,,,,,
,,"TIMBERLANE, VILLAGE OF Total",,,,,,,
,BOONE COUNTY Total,,,,,,,,
,BROWN COUNTY,BROWN COUNTY ALL JURISDICTIONS,10/16/09,,,,,,
,,BROWN COUNTY ALL JURISDICTIONS Total,,,,,,,
,,BROWN COUNTY UNINCORPORATED AREAS,10/16/09,,,,,,
,,BROWN COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"MOUND STATION, VILLAGE OF",10/16/09,,,,,,
,,"MOUND STATION, VILLAGE OF Total",,,,,,,
,,"MOUNT STERLING, CITY OF",10/16/09,,,,,,
,,"MOUNT STERLING, CITY OF Total",,,,,,,
,,"RIPLEY, VILLAGE OF",10/16/09,,,,,,
,,"RIPLEY, VILLAGE OF Total",,,,,,,
,,"VERSAILLES, VILLAGE OF",10/16/09,,,,,,
,,"VERSAILLES, VILLAGE OF Total",,,,,,,
,BROWN COUNTY Total,,,,,,,,
,BUREAU COUNTY,"ANNAWAN, TOWN OF ",8/2/11,,,,,,
,,"ANNAWAN, TOWN OF  Total",,,,,,,
,,"ARLINGTON, VILLAGE OF",8/2/11,,,,,,
,,"ARLINGTON, VILLAGE OF Total",,,,,,,
,,"BUDA, VILLAGE OF",8/2/11,,,,,,
,,"BUDA, VILLAGE OF Total",,,,,,,
,,BUREAU COUNTY ALL JURISDICTIONS,8/2/11,,,,,,
,,BUREAU COUNTY ALL JURISDICTIONS Total,,,,,,,
,,BUREAU COUNTY UNINCORPORATED AREAS,8/2/11,,,,,,
,,BUREAU COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"BUREAU JUNCTION, VILLAGE OF",8/2/11,,,,,,
,,"BUREAU JUNCTION, VILLAGE OF Total",,,,,,,
,,"CHERRY, VILLAGE OF",8/2/11,,,,,,
,,"CHERRY, VILLAGE OF Total",,,,,,,
,,"DALZELL, VILLAGE OF",8/2/11,,,,,,
,,"DALZELL, VILLAGE OF Total",,,,,,,
,,"DE PUE, VILLAGE OF",8/2/11,,,,,,
,,"DE PUE, VILLAGE OF Total",,,,,,,
,,"DOVER, VILLAGE OF ",8/2/11,,,,,,
,,"DOVER, VILLAGE OF  Total",,,,,,,
,,"HOLLOWAYVILLE, VILLAGE OF",8/2/11,,,,,,
,,"HOLLOWAYVILLE, VILLAGE OF Total",,,,,,,
,,"LA MOILLE, VILLAGE OF",8/2/11,,,,,,
,,"LA MOILLE, VILLAGE OF Total",,,,,,,
,,"LADD, VILLAGE OF",8/2/11,,,,,,
,,"LADD, VILLAGE OF Total",,,,,,,
,,"MALDEN, VILLAGE OF",8/2/11,,,,,,
,,"MALDEN, VILLAGE OF Total",,,,,,,
,,"MANLIUS, VILLAGE OF",8/2/11,,,,,,
,,"MANLIUS, VILLAGE OF Total",,,,,,,
,,"MINERAL, VILLAGE OF",8/2/11,,,,,,
,,"MINERAL, VILLAGE OF Total",,,,,,,
,,"NEPONSET, VILLAGE OF",8/2/11,,,,,,
,,"NEPONSET, VILLAGE OF Total",,,,,,,
,,"NEW BEDFORD, VILLAGE OF",8/2/11,,,,,,
,,"NEW BEDFORD, VILLAGE OF Total",,,,,,,
,,"OHIO, VILLAGE OF ",8/2/11,,,,,,
,,"OHIO, VILLAGE OF  Total",,,,,,,
,,"PRINCETON, CITY OF",8/2/11,,,,,,
,,"PRINCETON, CITY OF Total",,,,,,,
,,"SEATONVILLE, VILLAGE OF",8/2/11,,,,,,
,,"SEATONVILLE, VILLAGE OF Total",,,,,,,
,,"SHEFFIELD, VILLAGE OF",8/2/11,,,,,,
,,"SHEFFIELD, VILLAGE OF Total",,,,,,,
,,"SPRING VALLEY, CITY OF",8/2/11,,,,,,
,,"SPRING VALLEY, CITY OF Total",,,,,,,
,,"TISKILWA, VILLAGE OF",8/2/11,,,,,,
,,"TISKILWA, VILLAGE OF Total",,,,,,,
,,"WALNUT, VILLAGE OF",8/2/11,,,,,,
,,"WALNUT, VILLAGE OF Total",,,,,,,
,,"WYANET, VILLAGE OF",8/2/11,,,,,,
,,"WYANET, VILLAGE OF Total",,,,,,,
,BUREAU COUNTY Total,,,,,,,,
,CALHOUN COUNTY,"BATCHTOWN, VILLAGE OF ",12/17/10,,,,,,
,,"BATCHTOWN, VILLAGE OF  Total",,,,,,,
,,"BRUSSELS, VILLAGE OF",12/17/10,,,,,,
,,"BRUSSELS, VILLAGE OF Total",,,,,,,
,,CALHOUN COUNTY ALL JURISDICTIONS,12/17/10,,,,,,
,,CALHOUN COUNTY ALL JURISDICTIONS Total,,,,,,,
,,CALHOUN COUNTY UNINCORPORATED AREAS,12/17/10,,,,,,
,,CALHOUN COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"HAMBURG, VILLAGE OF",12/17/10,,,,,,
,,"HAMBURG, VILLAGE OF Total",,,,,,,
,,"HARDIN, VILLAGE OF",12/17/10,,,,,,
,,"HARDIN, VILLAGE OF Total",,,,,,,
,,"KAMPSVILLE, VILLAGE OF",12/17/10,,,,,,
,,"KAMPSVILLE, VILLAGE OF Total",,,,,,,
,CALHOUN COUNTY Total,,,,,,,,
,CARROLL COUNTY,CARROLL COUNTY ALL JURISDICTIONS,12/17/10,,,,,,
,,CARROLL COUNTY ALL JURISDICTIONS Total,,,,,,,
,,CARROLL COUNTY UNINCORPORATED AREAS,12/17/10,,,,,,
,,CARROLL COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"CHADWICK, VILLAGE OF",12/17/10,,,,,,
,,"CHADWICK, VILLAGE OF Total",,,,,,,
,,"LANARK, CITY OF",12/17/10,,,,,,
,,"LANARK, CITY OF Total",,,,,,,
,,"MILLEDGEVILLE,VILLAGE OF",12/17/10,,,,,,
,,"MILLEDGEVILLE,VILLAGE OF Total",,,,,,,
,,"MT. CARROLL, CITY OF",12/17/10,,,,,,
,,"MT. CARROLL, CITY OF Total",,,,,,,
,,"SAVANNA, CITY OF",12/17/10,,,,,,
,,"SAVANNA, CITY OF Total",,,,,,,
,,"SHANNON, VILLAGE OF",12/17/10,,,,,,
,,"SHANNON, VILLAGE OF Total",,,,,,,
,,"THOMSON, VILLAGE OF",12/17/10,,,,,,
,,"THOMSON, VILLAGE OF Total",,,,,,,
,CARROLL COUNTY Total,,,,,,,,
,CASS COUNTY,"ARENZVILLE, VILLAGE OF",9/29/10,,,,,,
,,"ARENZVILLE, VILLAGE OF Total",,,,,,,
,,"ASHLAND, VILLAGE OF",9/29/10,,,,,,
,,"ASHLAND, VILLAGE OF Total",,,,,,,
,,"BEARDSTOWN, CITY OF",9/29/10,,,,,,
,,"BEARDSTOWN, CITY OF Total",,,,,,,
,,CASS COUNTY ALL JURISDICTIONS,9/29/10,,,,,,
,,CASS COUNTY ALL JURISDICTIONS Total,,,,,,,
,,CASS COUNTY UNINCORPORATED AREAS,9/29/10,,,,,,
,,CASS COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"CHANDLERVILLE, VILLAGE OF",9/29/10,,,,,,
,,"CHANDLERVILLE, VILLAGE OF Total",,,,,,,
,,"VIRGINIA, CITY OF",9/29/10,,,,,,
,,"VIRGINIA, CITY OF Total",,,,,,,
,CASS COUNTY Total,,,,,,,,
,CHAMPAIGN COUNTY,"ALLERTON, VILLAGE OF",10/2/13,,,,,,
,,"ALLERTON, VILLAGE OF Total",,,,,,,
,,"BONDVILLE, VILLAGE OF ",10/2/13,,,,,,
,,"BONDVILLE, VILLAGE OF  Total",,,,,,,
,,"BROADLANDS, VILLAGE OF",10/2/13,,,,,,
,,"BROADLANDS, VILLAGE OF Total",,,,,,,
,,CHAMPAIGN COUNTY ALL JURISDICTIONS,10/2/13,,,,,,
,,CHAMPAIGN COUNTY ALL JURISDICTIONS Total,,,,,,,
,,CHAMPAIGN COUNTY UNINCORPORATED AREAS,10/2/13,,,,,,
,,CHAMPAIGN COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"CHAMPAIGN, CITY OF",10/2/13,,,,,,
,,"CHAMPAIGN, CITY OF Total",,,,,,,
,,"FISHER, VILLAGE OF",10/2/13,,,,,,
,,"FISHER, VILLAGE OF Total",,,,,,,
,,"FOOSLAND, VILLAGE OF",10/2/13,,,,,,
,,"FOOSLAND, VILLAGE OF Total",,,,,,,
,,"GIFFORD, VILLAGE OF",10/2/13,,,,,,
,,"GIFFORD, VILLAGE OF Total",,,,,,,
,,"HOMER, VILLAGE OF",10/2/13,,,,,,
,,"HOMER, VILLAGE OF Total",,,,,,,
,,"IVESDALE, VILLAGE OF",10/2/13,,,,,,
,,"IVESDALE, VILLAGE OF Total",,,,,,,
,,"LONGVIEW, VILLAGE OF",10/2/13,,,,,,
,,"LONGVIEW, VILLAGE OF Total",,,,,,,
,,"LUDLOW, VILLAGE OF",10/2/13,,,,,,
,,"LUDLOW, VILLAGE OF Total",,,,,,,
,,"MAHOMET, VILLAGE OF",10/2/13,,,,,,
,,"MAHOMET, VILLAGE OF Total",,,,,,,
,,"OGDEN, VILLAGE OF",10/2/13,,,,,,
,,"OGDEN, VILLAGE OF Total",,,,,,,
,,PESOTUM. VILLAGE OF,10/2/13,,,,,,
,,PESOTUM. VILLAGE OF Total,,,,,,,
,,"PHILO, VILLAGE OF",10/2/13,,,,,,
,,"PHILO, VILLAGE OF Total",,,,,,,
,,"RANTOUL, VILLAGE OF",10/2/13,,,,,,
,,"RANTOUL, VILLAGE OF Total",,,,,,,
,,"ROYAL, VILLAGE OF",10/2/13,,,,,,
,,"ROYAL, VILLAGE OF Total",,,,,,,
,,"SADORUS, VILLAGE OF",10/2/13,,,,,,
,,"SADORUS, VILLAGE OF Total",,,,,,,
,,"SAVOY, VILLAGE OF",10/2/13,,,,,,
,,"SAVOY, VILLAGE OF Total",,,,,,,
,,"SIDNEY, VILLAGE OF",10/2/13,,,,,,
,,"SIDNEY, VILLAGE OF Total",,,,,,,
,,"ST. JOSEPH, VILLAGE OF",10/2/13,,,,,,
,,"ST. JOSEPH, VILLAGE OF Total",,,,,,,
,,"THOMASBORO, VILLAGE OF",10/2/13,,,,,,
,,"THOMASBORO, VILLAGE OF Total",,,,,,,
,,"TOLONO, VILLAGE OF",10/2/13,,,,,,
,,"TOLONO, VILLAGE OF Total",,,,,,,
,,"URBANA, CITY OF",10/2/13,,,,,,
,,"URBANA, CITY OF Total",,,,,,,
,CHAMPAIGN COUNTY Total,,,,,,,,
,CHRISTIAN COUNTY,"ASSUMPTION, VILLAGE OF",6/16/11,,,,,,
,,"ASSUMPTION, VILLAGE OF Total",,,,,,,
,,"BULPITT, VILLAGE OF ",6/16/11,,,,,,
,,"BULPITT, VILLAGE OF  Total",,,,,,,
,,CHRISTIAN COUNTY ALL JURISDICTIONS,6/16/11,,,,,,
,,CHRISTIAN COUNTY ALL JURISDICTIONS Total,,,,,,,
,,CHRISTIAN COUNTY UNINCORPORATED AREAS,6/16/11,,,,,,
,,CHRISTIAN COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"EDINBURG, VILLAGE OF",6/16/11,,,,,,
,,"EDINBURG, VILLAGE OF Total",,,,,,,
,,"JEISYVILLE, VILLAGE OF",6/16/11,,,,,,
,,"JEISYVILLE, VILLAGE OF Total",,,,,,,
,,"KINCAID, VILLAGE OF",6/16/11,,,,,,
,,"KINCAID, VILLAGE OF Total",,,,,,,
,,"MORRISONVILLE, VILLAGE OF ",6/16/11,,,,,,
,,"MORRISONVILLE, VILLAGE OF  Total",,,,,,,
,,"MOUNT AUBURN, VILLAGE OF ",6/16/11,,,,,,
,,"MOUNT AUBURN, VILLAGE OF  Total",,,,,,,
,,"MOWEAQUA, VILLAGE OF",6/16/11,,,,,,
,,"MOWEAQUA, VILLAGE OF Total",,,,,,,
,,"OWANECO, VILLAGE OF",6/16/11,,,,,,
,,"OWANECO, VILLAGE OF Total",,,,,,,
,,"PALMER, VILLAGE OF",6/16/11,,,,,,
,,"PALMER, VILLAGE OF Total",,,,,,,
,,"PANA, CITY OF",6/16/11,,,,,,
,,"PANA, CITY OF Total",,,,,,,
,,"STONINGTON, VILLAGE OF",6/16/11,,,,,,
,,"STONINGTON, VILLAGE OF Total",,,,,,,
,,"TAYLORVILLE, CITY OF",6/16/11,,,,,,
,,"TAYLORVILLE, CITY OF Total",,,,,,,
,,"TOVEY, VILLAGE OF",6/16/11,,,,,,
,,"TOVEY, VILLAGE OF Total",,,,,,,
,CHRISTIAN COUNTY Total,,,,,,,,
,CLARK COUNTY,"CASEY, CITY OF",2/4/11,,,,,,
,,"CASEY, CITY OF Total",,,,,,,
,,CLARK COUNTY ALL JURISDICTIONS,8/2/07,,,,,,
,,CLARK COUNTY ALL JURISDICTIONS Total,,,,,,,
,,CLARK COUNTY UNINCORPORATED AREAS,8/2/07,,,,,,
,,CLARK COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"MARSHALL, CITY OF",8/2/07,,,,,,
,,"MARSHALL, CITY OF Total",,,,,,,
,,"MARTINSVILLE, CITY OF",8/2/07,,,,,,
,,"MARTINSVILLE, CITY OF Total",,,,,,,
,,"WESTFIELD,VILLAGE OF",8/2/07,,,,,,
,,"WESTFIELD,VILLAGE OF Total",,,,,,,
,CLARK COUNTY Total,,,,,,,,
,CLAY COUNTY,"CLAY CITY, VILLAGE OF",1/18/84,,,,,,
,,"CLAY CITY, VILLAGE OF Total",,,,,,,
,,CLAY COUNTY UNINCORPORATED AREAS,5/29/81,,,,,,
,,CLAY COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"FLORA, CITY OF",8/5/85,,,,,,
,,"FLORA, CITY OF Total",,,,,,,
,CLAY COUNTY Total,,,,,,,,
,CLINTON COUNTY,"ALBERS, VILLAGE OF",8/2/07,,,,,,
,,"ALBERS, VILLAGE OF Total",,,,,,,
,,"AVISTON, VILLAGE OF",8/2/07,,,,,,
,,"AVISTON, VILLAGE OF Total",,,,,,,
,,"BARTELSO, VILLAGE OF",8/2/07,,,,,,
,,"BARTELSO, VILLAGE OF Total",,,,,,,
,,"BECKEMEYER, VILLAGE OF",8/2/07,,,,,,
,,"BECKEMEYER, VILLAGE OF Total",,,,,,,
,,"BREESE, CITY OF",8/2/07,,,,,,
,,"BREESE, CITY OF Total",,,,,,,
,,"CARLYLE, CITY OF",8/2/07,,,,,,
,,"CARLYLE, CITY OF Total",,,,,,,
,,"CENTRALIA, CITY OF",11/16/11,,,,,,
,,"CENTRALIA, CITY OF Total",,,,,,,
,,CLINTON COUNTY ALL JURISDICTIONS,8/2/07,,,,,,
,,CLINTON COUNTY ALL JURISDICTIONS Total,,,,,,,
,,CLINTON COUNTY UNINCORPORATED AREAS,8/2/07,,,,,,
,,CLINTON COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"DAMIANSVILLE, VILLAGE OF",8/2/07,,,,,,
,,"DAMIANSVILLE, VILLAGE OF Total",,,,,,,
,,"GERMANTOWN, VILLAGE OF",8/2/07,,,,,,
,,"GERMANTOWN, VILLAGE OF Total",,,,,,,
,,"HOFFMAN, VILLAGE OF",8/2/07,,,,,,
,,"HOFFMAN, VILLAGE OF Total",,,,,,,
,,"HUEY, VILLAGE OF",8/2/07,,,,,,
,,"HUEY, VILLAGE OF Total",,,,,,,
,,"KEYESPORT, VILLAGE OF",8/2/07,,,,,,
,,"KEYESPORT, VILLAGE OF Total",,,,,,,
,,"NEW BADEN, VILLAGE OF",8/2/07,,,,,,
,,"NEW BADEN, VILLAGE OF Total",,,,,,,
,,"TRENTON, CITY OF",8/2/07,,,,,,
,,"TRENTON, CITY OF Total",,,,,,,
,,"WAMAC, CITY OF",8/2/07,,,,,,
,,,11/16/11,,,,,,
,,"WAMAC, CITY OF Total",,,,,,,
,CLINTON COUNTY Total,,,,,,,,
,COLES COUNTY,"ASHMORE, VILLAGE OF ",7/18/11,,,,,,
,,"ASHMORE, VILLAGE OF  Total",,,,,,,
,,"CHARLESTON, CITY OF",7/18/11,,,,,,
,,"CHARLESTON, CITY OF Total",,,,,,,
,,COLES COUNTY ALL JURISDICTIONS,7/18/11,,,,,,
,,COLES COUNTY ALL JURISDICTIONS Total,,,,,,,
,,COLES COUNTY UNINCORPORATED AREAS,7/18/11,,,,,,
,,COLES COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"HUMBOLDT, VILLAGE OF ",7/18/11,,,,,,
,,"HUMBOLDT, VILLAGE OF  Total",,,,,,,
,,"LERNA, VILLAGE OF",7/18/11,,,,,,
,,"LERNA, VILLAGE OF Total",,,,,,,
,,"MATTOON, CITY OF",7/18/11,,,,,,
,,"MATTOON, CITY OF Total",,,,,,,
,,"OAKLAND, CITY OF",7/18/11,,,,,,
,,"OAKLAND, CITY OF Total",,,,,,,
,COLES COUNTY Total,,,,,,,,
,COOK COUNTY,"ALSIP, VILLAGE OF",8/19/08,,,,,,
,,"ALSIP, VILLAGE OF Total",,,,,,,
,,"ARLINGTON HEIGHTS, VILLAGE OF",9/18/13,,,,,,
,,"ARLINGTON HEIGHTS, VILLAGE OF Total",,,,,,,
,,"BARRINGTON HILLS, VILLAGE OF",9/18/13,,,,,,
,,"BARRINGTON HILLS, VILLAGE OF Total",,,,,,,
,,"BARRINGTON, VILLAGE OF",9/18/13,,,,,,
,,"BARRINGTON, VILLAGE OF Total",,,,,,,
,,"BARTLETT, VILLAGE OF",8/3/09,,,,,,
,,"BARTLETT, VILLAGE OF Total",,,,,,,
,,"BEDFORD PARK, VILLAGE OF",8/19/08,,,,,,
,,"BEDFORD PARK, VILLAGE OF Total",,,,,,,
,,"BELLWOOD, VILLAGE OF",8/19/08,,,,,,
,,"BELLWOOD, VILLAGE OF Total",,,,,,,
,,"BENSENVILLE, VILLAGE OF",8/19/08,,,,,,
,,"BENSENVILLE, VILLAGE OF Total",,,,,,,
,,"BERKELEY, VILLAGE OF",8/19/08,,,,,,
,,"BERKELEY, VILLAGE OF Total",,,,,,,
,,"BERWYN, VILLAGE OF",8/19/08,,,,,,
,,"BERWYN, VILLAGE OF Total",,,,,,,
,,"BLUE ISLAND, CITY OF",8/19/08,,,,,,
,,"BLUE ISLAND, CITY OF Total",,,,,,,
,,"BRIDGEVIEW, VILLAGE OF",8/19/08,,,,,,
,,"BRIDGEVIEW, VILLAGE OF Total",,,,,,,
,,"BROADVIEW, VILLAGE OF",8/19/08,,,,,,
,,"BROADVIEW, VILLAGE OF Total",,,,,,,
,,"BROOKFIELD, VILLAGE OF",8/19/08,,,,,,
,,"BROOKFIELD, VILLAGE OF Total",,,,,,,
,,"BUFFALO GROVE, VILLAGE OF",9/18/13,,,,,,
,,"BUFFALO GROVE, VILLAGE OF Total",,,,,,,
,,"BURBANK, CITY OF",8/19/08,,,,,,
,,"BURBANK, CITY OF Total",,,,,,,
,,"BURNHAM, VILLAGE OF",8/19/08,,,,,,
,,"BURNHAM, VILLAGE OF Total",,,,,,,
,,"BURR RIDGE, VILLAGE OF",8/19/08,,,,,,
,,"BURR RIDGE, VILLAGE OF Total",,,,,,,
,,"CALUMET CITY, CITY OF",8/19/08,,,,,,
,,"CALUMET CITY, CITY OF Total",,,,,,,
,,"CALUMET PARK, VILLAGE OF",8/19/08,,,,,,
,,"CALUMET PARK, VILLAGE OF Total",,,,,,,
,,"CHICAGO HEIGHTS, CITY OF",8/19/08,,,,,,
